Company,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,name,mileage_category,km_Driven_category
Maruti,2020,445000,1000,Petrol,Individual,Manual,"First Owner",21,1197,81.8,113,5,"Maruti Swift LXI",High,"Less than 10k"
Maruti,2020,570000,5000,Petrol,Individual,Manual,"First Owner",21,1197,81.8,113,5,"Maruti Swift VXI",High,"Less than 10k"
Maruti,2020,600000,5000,Petrol,Individual,Manual,"First Owner",21,1197,81.8,113,5,"Maruti Swift VXI",High,"Less than 10k"
Maruti,2020,600000,5000,Petrol,Individual,Manual,"First Owner",21,1197,81.8,113,5,"Maruti Swift VXI",High,"Less than 10k"
Maruti,2020,578000,5000,Petrol,Individual,Manual,"First Owner",21,1197,81.8,113,5,"Maruti Swift ZXI Plus",High,"Less than 10k"
Maruti,2020,810000,15000,Diesel,Individual,Manual,"First Owner",24,1248,88.5,200,5,"Maruti Vitara Brezza VDi",High,"Between 10k and 100k"
Maruti,2020,925000,7400,Diesel,Individual,Automatic,"First Owner",24,1248,88.5,200,5,"Maruti Vitara Brezza ZDi AMT",High,"Less than 10k"
Maruti,2020,737000,10000,Petrol,Individual,Automatic,"First Owner",19,1462,103.26,138,5,"Maruti Vitara Brezza ZXI Plus AT Dual Tone",Average,"Between 10k and 100k"
Maruti,2020,265000,70000,Petrol,Individual,Manual,"Second Owner",22,998,67.05,90,5,"Maruti Wagon R LXI",High,"Between 10k and 100k"
MG,2020,1900000,1600,Petrol,Dealer,Automatic,"First Owner",14,1451,141,250,5,"MG Hector Sharp DCT Dualtone",Average,"Less than 10k"
Tata,2020,1650000,16000,Diesel,Dealer,Manual,"First Owner",17,1956,167.67,350,5,"Tata Harrier XZ Plus",Average,"Between 10k and 100k"
Tata,2020,537000,5000,Petrol,Individual,Manual,"First Owner",17,1198,108.5,170,5,"Tata Nexon 1.2 Revotron XM",Average,"Less than 10k"
Tata,2020,919999,20000,Petrol,Individual,Manual,"First Owner",17,1198,108.5,170,5,"Tata Nexon 1.2 Revotron XZ Plus",Average,"Between 10k and 100k"
Tata,2020,950000,5000,Petrol,Individual,Automatic,"First Owner",17,1198,108.5,170,5,"Tata Nexon 1.2 Revotron XZA Plus",Average,"Less than 10k"
Tata,2020,500000,15000,Petrol,Individual,Manual,"First Owner",24,1199,83.83,114,5,"Tata Tiago 2019-2020 XZ",High,"Between 10k and 100k"
Tata,2020,500000,40000,Petrol,Individual,Manual,"First Owner",18,1193,88.7,140,5,"Tata Zest Revotron 1.2 XT",Average,"Between 10k and 100k"
Tata,2020,500000,40000,Petrol,Individual,Manual,"First Owner",18,1193,88.7,140,5,"Tata Zest Revotron 1.2 XT",Average,"Between 10k and 100k"
Tata,2020,500000,40000,Petrol,Individual,Manual,"First Owner",18,1193,88.7,140,5,"Tata Zest Revotron 1.2 XT",Average,"Between 10k and 100k"
Tata,2020,500000,40000,Petrol,Individual,Manual,"First Owner",18,1193,88.7,140,5,"Tata Zest Revotron 1.2 XT",Average,"Between 10k and 100k"
Toyota,2020,3200000,3000,Diesel,Individual,Automatic,"First Owner",15,2755,174.5,450,7,"Toyota Fortuner 2.8 4WD AT BSIV",Average,"Less than 10k"
Toyota,2020,1560000,20102,Diesel,Dealer,Manual,"First Owner",14,2393,147.51,343,8,"Toyota Innova Crysta 2.4 G MT 8 STR",Average,"Between 10k and 100k"
Toyota,2020,2300000,1000,Diesel,Individual,Automatic,"First Owner",14,2393,147.51,360,7,"Toyota Innova Crysta 2.4 ZX AT",Average,"Less than 10k"
Toyota,2020,1500000,40000,Petrol,Individual,Automatic,"First Owner",11,2694,163.7,245,8,"Toyota Innova Crysta 2.7 GX AT 8 STR",Average,"Between 10k and 100k"
Toyota,2020,1500000,40000,Petrol,Individual,Automatic,"First Owner",11,2694,163.7,245,8,"Toyota Innova Crysta 2.7 GX AT 8 STR",Average,"Between 10k and 100k"
Volkswagen,2020,800000,25000,Diesel,Individual,Manual,"First Owner",22,1498,108.62,250,5,"Volkswagen Ameo 1.5 TDI Comfortline",High,"Between 10k and 100k"
Volkswagen,2020,808000,5000,Petrol,Individual,Manual,"First Owner",18,999,108.6,175,5,"Volkswagen Polo 1.0 TSI Highline Plus",Average,"Less than 10k"
Volkswagen,2020,260000,50000,Diesel,Individual,Manual,"First Owner",20,1498,88.5,230,5,"Volkswagen Polo 1.5 TDI Comfortline",Average,"Between 10k and 100k"
Audi,2019,6223000,7800,Petrol,Dealer,Automatic,"Test Drive Car",15,1798,187.74,320,5,"Audi A6 35 TFSI Matrix",Average,"Less than 10k"
Audi,2019,5923000,11500,Petrol,Dealer,Automatic,"Test Drive Car",15,1798,187.74,320,5,"Audi A6 35 TFSI Matrix",Average,"Between 10k and 100k"
Audi,2019,6523000,23600,Petrol,Dealer,Automatic,"Test Drive Car",15,1798,187.74,320,5,"Audi A6 35 TFSI Matrix",Average,"Between 10k and 100k"
BMW,2019,5200000,10000,Diesel,Dealer,Automatic,"First Owner",18,1995,190,400,5,"BMW 5 Series 520d Luxury Line",Average,"Between 10k and 100k"
BMW,2019,5200000,10000,Diesel,Dealer,Automatic,"First Owner",18,1995,190,400,5,"BMW 5 Series 520d Luxury Line",Average,"Between 10k and 100k"
BMW,2019,5800000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5800000,21000,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Between 10k and 100k"
BMW,2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
BMW,2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner",17,1995,190,400,5,"BMW X4 M Sport X xDrive20d",Average,"Less than 10k"
Datsun,2019,500000,10000,Petrol,Individual,Manual,"First Owner",19,1198,67.05,104,5,"Datsun GO A Option Petrol",Average,"Between 10k and 100k"
Datsun,2019,300000,40000,Petrol,Individual,Manual,"First Owner",19,1198,67.05,104,5,"Datsun GO D Petrol",Average,"Between 10k and 100k"
Datsun,2019,590000,4000,Petrol,Individual,Manual,"First Owner",20,1198,67,104,7,"Datsun GO Plus T VDC",Average,"Less than 10k"
Datsun,2019,459999,35000,Petrol,Individual,Manual,"First Owner",20,1198,67,104,5,"Datsun GO T Petrol",Average,"Between 10k and 100k"
Datsun,2019,390000,10000,Petrol,Individual,Manual,"First Owner",23,999,67,91,5,"Datsun RediGO 1.0 T Option",High,"Between 10k and 100k"
Datsun,2019,270000,2300,Petrol,Individual,Manual,"First Owner",23,799,53.64,72,5,"Datsun RediGO A",High,"Less than 10k"
Datsun,2019,325000,1300,Petrol,Individual,Manual,"First Owner",23,999,67,91,5,"Datsun RediGO SV 1.0",High,"Less than 10k"
Ford,2019,800000,33000,Petrol,Dealer,Manual,"First Owner",19,1194,94.93,120,5,"Ford Aspire Titanium BSIV",Average,"Between 10k and 100k"
Ford,2019,675000,7000,Petrol,Individual,Manual,"First Owner",19,1194,94.93,120,5,"Ford Aspire Titanium BSIV",Average,"Less than 10k"
Ford,2019,675000,7000,Petrol,Individual,Manual,"First Owner",19,1194,94.93,120,5,"Ford Aspire Titanium BSIV",Average,"Less than 10k"
Ford,2019,575000,20000,Petrol,Individual,Manual,"First Owner",19,1194,94.93,120,5,"Ford Aspire Titanium BSIV",Average,"Between 10k and 100k"
Ford,2019,950000,16034,Diesel,Dealer,Manual,"First Owner",22,1498,98.96,215,5,"Ford Ecosport 1.5 Diesel Titanium",High,"Between 10k and 100k"
Ford,2019,800000,30000,Diesel,Individual,Manual,"Third Owner",23,1498,98.96,205,5,"Ford EcoSport 1.5 Diesel Titanium BSIV",High,"Between 10k and 100k"
Ford,2019,975000,30000,Diesel,Individual,Manual,"First Owner",23,1498,98.96,205,5,"Ford EcoSport 1.5 Diesel Titanium BSIV",High,"Between 10k and 100k"
Ford,2019,975000,30000,Diesel,Individual,Manual,"First Owner",23,1498,98.96,205,5,"Ford EcoSport 1.5 Diesel Titanium BSIV",High,"Between 10k and 100k"
Ford,2019,960000,2600,Diesel,Individual,Manual,"First Owner",23,1498,98.96,205,5,"Ford EcoSport 1.5 Diesel Titanium BSIV",High,"Less than 10k"
Ford,2019,906000,30000,Diesel,Individual,Manual,"First Owner",23,1498,98.96,205,5,"Ford EcoSport 1.5 Diesel Titanium Plus BSIV",High,"Between 10k and 100k"
Ford,2019,1050000,26000,Diesel,Dealer,Manual,"First Owner",23,1498,98.96,205,5,"Ford EcoSport 1.5 Diesel Titanium Plus BSIV",High,"Between 10k and 100k"
